url,surface_m2,rooms,floor,price,city,year_built,elevator,construction_material,number_bathrooms,latitude,longitude,metro_proximity,stb_proximity
https://www.storia.ro/ro/oferta/garsonier-moderna-4-min-metrou-lujerului-IDGDXT,41m²,1,10/11,72 000 €,Militari,1976,da,beton,1,44.433964,26.032343,0.12353428198310916,0.0963412686952972
https://www.storia.ro/ro/oferta/comision-0-padurea-baneasa-greenfield-2camere-mobilat-utilat-parcare-IDH6qa,49m²,2,4/4,125 000 €,Cismigiu,2019,da,N/A,1,44.436142,26.102684,0.03183569747401611,0.07866140733368968
https://www.storia.ro/ro/oferta/apartament-in-galaxy-park-residence-2-camere-decomandat-bloc-nou-IDH0y8,55.98m²,2,6/11,107 000 €,IMGB,2025,da,beton,1,44.368534,26.12119,1.667858298834167,0.1816399582346971
https://www.storia.ro/ro/oferta/universitate-adiacent-sf-vineri-3-camere-semimobilat-IDH6pU,87.02m²,3,5,155 000 €,Centrul Istoric,1932,da,N/A,1,44.431477,26.107094,0.5962438399807007,0.14173780803121644
https://www.storia.ro/ro/oferta/de-vnzare-apartament-3-camere-lujerului-2-min-de-metrou-IDGVrJ,60m²,3,parter/9,125 000 €,Militari,1967,nu,beton,1,44.436466,26.033787,0.2165223403690449,0.06539781346346274
https://www.storia.ro/ro/oferta/apartament-decomandat-cu-2-camere-drumul-binelui-bd-metalurgiei-IDH0ym,55.98m²,2,6/11,107 000 €,IMGB,2025,da,beton,1,44.368534,26.12119,1.667858298834167,0.1816399582346971
https://www.storia.ro/ro/oferta/apartament-in-bloc-nou-stradal-metalurgiei-2-camere-decomandat-IDGIaX,52.24m²,2,3/12,106 450 €,IMGB,2025,da,beton,1,44.36698,26.125013,1.4984643119594632,0.1520811281616526
https://www.storia.ro/ro/oferta/apartament-0-comision-2-camere-decomandat-nou-finisat-sector-4-IDGVkO,52.24m²,2,3/12,106 450 €,IMGB,2025,da,beton,1,44.36698,26.125013,1.4984643119594632,0.1520811281616526
https://www.storia.ro/ro/oferta/laguna-residence-pipera-2-camere-centrala-proprie-2-x-ac-IDH6ps,55m²,2,2/7,599 €,Pipera,2019,da,cărămidă,1,44.475,26.111744,0.7413206974012446,0.180154594752355
https://www.storia.ro/ro/oferta/apartament-2-camere-drumul-taberei-IDH6pr,50m²,2,2/4,99 690 €,Drumul Taberei,1962,nu,cărămidă,1,44.42709,26.053364,0.30471691292586167,0.18431338586738602
https://www.storia.ro/ro/oferta/metrou-obor-mobilat-etaj-intermediar-3-camere-IDH6pp,60m²,3,2/10,129 990 €,Tei,1969,da,N/A,1,44.453102,26.125507,0.36949328460052117,0.25677829002252983
https://www.storia.ro/ro/oferta/studio-premium-53-mp-vis-a-vis-mall-vitan-IDH6pi,53m²,1,9,128 000 €,Vitan,2001,nu,N/A,1,44.418274,26.127787,0.691507466893373,0.09407386407505425
https://www.storia.ro/ro/oferta/apartament-2-camere-decomandat-63-08mp-acces-metrou-comision-0-IDGPT2,63.08m²,2,1/4,100 927 €,Theodor Pallady,2026,da,beton armat,1,44.414295,26.201166,0.9197237613536271,0.8281945210412937
https://www.storia.ro/ro/oferta/garsoniera-decomandata-38-61mp-acces-metrou-nicolae-teclu-IDGPR9,38.61m²,1,1/4,61 775 €,Theodor Pallady,2026,da,beton armat,1,44.414295,26.201166,0.9197237613536271,0.8281945210412937
https://www.storia.ro/ro/oferta/apartament-2-camere-67-7mp-finalizat-comision-0-IDESN5,67.7m²,2,5/7,81 570 €,IMGB,2025,da,beton,1,44.36867,26.114674,2.0446209719315624,0.07007091990888066
https://www.storia.ro/ro/oferta/apartament-3-camere-84mp-acces-metrou-aparatorii-patriei-IDGLx7,84m²,3,3/5,134 000 €,Berceni,2025,da,beton armat,1,44.38676,26.116875,0.8116367202193068,0.15475524641803862
https://www.storia.ro/ro/oferta/apartament-2-camere-56-5mp-finalizat-comision-0-IDESMT,56.5m²,2,5/7,76 446 €,IMGB,2025,da,cărămidă,1,44.36867,26.114674,2.0446209719315624,0.07007091990888066
https://www.storia.ro/ro/oferta/apartament-2-camere-59-mp-metrou-aprtorii-patriei-drumul-jilavei-IDGLlp,59m²,2,1/5,85 100 €,Aparatorii Patriei,2026,da,beton,1,44.372894,26.129774,0.8673249363972545,0.10060042796781561
https://www.storia.ro/ro/oferta/mutare-rapida-apartament-2-camere-mobilat-si-utilat-trapezului-IDGLd6,56m²,2,2/4,95 400 €,Trapezului,2023,da,beton,1,44.403774,26.17661,0.724137557103295,0.6891076345470025
https://www.storia.ro/ro/oferta/garsoniera-spatioasa-33mp-15mp-curte-aparatorii-patriei-12-15min-IDGRxc,48m²,1,parter/5,61 200 €,Aparatorii Patriei,2026,da,beton,1,44.370945,26.128311,1.113067649374202,0.05732167702015506
https://www.storia.ro/ro/oferta/garsoniera-33-mp-15-mp-curte-metrou-aparatorii-patriei-10-15min-IDGLnb,48m²,1,parter/5,61 200 €,Aparatorii Patriei,2026,nu,beton,1,44.373066,26.129911,0.8453217461856254,0.07868204152737283
https://www.storia.ro/ro/oferta/apartament-2-camere-curte-proprie-zona-parc-tudor-arghezi-sector-4-IDGEgI,53.35m²,2,parter/6,106 300 €,IMGB,2025,da,beton,1,44.368534,26.12119,1.667858298834167,0.1816399582346971
https://www.storia.ro/ro/oferta/oferta-0-comision-apartament-2-camere-59-mp-langa-metrou-berceni-IDGVkX,53.5m²,2,2/6,106 200 €,Popesti Leordeni,2025,da,beton,1,44.362534,26.149393,0.8433153962127715,0.15093364412896265
https://www.storia.ro/ro/oferta/apartament-cu-2-camere-spatioase-langa-metrou-berceni-comision-0-IDGNPk,53.5m²,2,2/6,106 200 €,Popesti Leordeni,2025,da,beton,1,44.362534,26.149393,0.8433153962127715,0.15093364412896265
https://www.storia.ro/ro/oferta/apartament-de-vanzare-2-camere-vacaresti-tineretului-IDH6oO,58m²,2,parter,144 900 €,Vacaresti,1997,nu,N/A,1,44.4038,26.119326,0.9897597983792725,0.1466028703579778
https://www.storia.ro/ro/oferta/uverturii-3-camere-67-mp-decom-parcare-platita-b11186-IDGDdT,67m²,3,parter/4,160 000 €,Militari,1980,nu,cărămidă,1,44.43436,26.03418,0.04278041032037277,0.03430831660738914
