surface_m2,rooms,floor,max_floor,price,neighborhood,year_built,elevator,construction_material,latitude,longitude,metro_proximity,stb_proximity
56.0,2,1,3,78582,76,2026,1,1,44.41515,26.201748,1.02348928,0.932237332
49.0,2,0,10,63895,76,2026,1,0,44.41515,26.201748,1.02348928,0.932237332
32.0,1,8,9,58500,10,1970,1,-1,44.37936,26.12729,0.642735198,0.022177376
62.6,3,2,4,103460,48,2025,1,0,44.36773,26.114256,2.134405783,0.040312509
43.43,2,2,9,87000,74,1964,0,0,44.452465,26.118793,0.508180021,0.061198074
53.55,2,1,7,103000,65,2025,1,0,44.37607,26.102432,2.452213177,0.163232624
76.0,3,2,4,107380,48,2025,1,0,44.36773,26.114256,2.134405783,0.040312509
65.0,2,2,6,96000,48,2025,1,0,44.368534,26.12119,1.667858299,0.181639958
56.39,2,3,6,103000,48,2025,1,0,44.3698,26.112396,2.125917066,0.244987254
53.8,2,1,7,103000,65,2025,1,0,44.37607,26.102432,2.452213177,0.163232624
109.0,3,10,10,309900,61,2018,0,-1,44.477764,26.120947,0.472116662,0.121871431
52.0,2,4,7,115500,10,1982,1,-1,44.388504,26.12834,0.688857593,0.191366394
45.0,1,3,7,69500,48,2026,1,2,44.364002,26.147087,0.610569657,0.342994464
70.0,3,5,5,119000,3,2025,1,2,44.373066,26.129911,0.845321746,0.078682042
84.0,3,2,5,127000,3,2025,1,2,44.37141,26.128624,1.055880793,0.002346755
37.0,1,5,5,68000,3,2025,1,2,44.373066,26.129911,0.845321746,0.078682042
59.0,2,6,7,91000,48,2025,1,2,44.362343,26.148718,0.834164761,0.126542245
56.0,2,2,7,92500,48,2025,1,2,44.36867,26.114674,2.044620972,0.07007092
70.0,3,9,10,93000,10,1977,1,2,44.379772,26.104773,2.02114411,0.333588485
62.0,2,3,4,85000,66,1988,0,3,44.406845,26.064793,2.240715656,0.028592289
67.3,3,8,10,160000,39,1978,1,0,44.419006,26.049341,0.686632661,0.16326702
48.0,2,5,5,110964,21,2024,1,1,44.463135,26.138027,1.836934595,0.243101435
85.4,3,2,7,190000,22,1939,0,-1,44.43292,26.069344,0.551116841,0.077966946
32.0,1,2,7,88500,52,2022,1,1,44.43713,25.98629,0.805768459,0.170813895
89.0,4,7,12,164000,58,1989,1,-1,44.442844,26.158886,1.170548031,0.083028261
44.85,2,0,6,102600,48,2026,1,0,44.373177,26.127972,0.924289914,0.204810271
49.15,2,1,12,103400,48,2025,1,0,44.3666,26.124887,1.514998301,0.118313969
40.0,2,9,9,140000,20,1959,0,-1,44.439716,26.093178,0.760192656,0.072019475
35.0,1,10,10,82400,88,1977,1,0,44.411797,26.141031,1.048804021,0.351019927
63.0,2,4,8,125000,66,1989,0,-1,44.41747,26.063128,1.087119736,0.298894203
