surface_m2,rooms,floor,max_floor,price,neighborhood,year_built,elevator,construction_material,latitude,longitude,metro_proximity,stb_proximity
240,4,13,25,1598500,67,2025,1,0,44.47535528,26.10459531,0.545086362,0.057136347
42,2,2,7,65000,97,2026,1,0,44.4493112,25.98157375,2.207964005,1.04918993
142,4,6,12,699000,67,2025,1,0,44.4766033,26.1014054,0.298448837,0.288136049
140,4,9,12,659000,67,2025,1,0,44.47822209,26.09896639,0.146679315,0.157929975
144,4,15,25,869000,67,2025,1,-1,44.4766033,26.1014054,0.298448837,0.288136049
31,1,3,7,49900,97,2025,1,0,44.4436656,25.9765573,1.823068086,0.814515521
48,2,7,7,65900,97,2025,1,0,44.44328,25.9826708,1.547464736,0.464380541
43.72,2,1,7,115000,135,2026,0,0,44.5205919,26.1462587,5.021422278,2.937703443
38,1,7,8,80000,23,2024,1,0,44.36103205,26.15003802,1.012681495,0.089732792
54,2,2,10,80900,97,2026,1,0,44.44446571,25.97114956,2.167512958,0.885704082
47.3,2,1,4,169000,155,2025,1,0,44.49024117,26.06473088,2.077467575,0.095653418
52,2,5,9,200000,67,2025,1,0,44.47605681,26.1140728,0.552989349,0.213957456
52,2,2,5,117000,10,2025,1,0,44.37371605,26.13003381,0.778808905,0.036871862
68.3,3,1,10,102167,160,2026,1,0,44.4179045,26.2038071,1.368004927,0.973565677
40.65,1,3,7,77000,25,2025,1,0,44.37155672,26.11659634,1.739120901,0.131856804
49.53,2,8,20,165000,67,2026,1,0,44.47792506,26.12432957,0.68378724,0.105980915
32,1,0,7,48900,97,2026,1,0,44.4493112,25.98157375,2.207964005,1.04918993
58,2,1,2,102000,10,2017,1,0,44.36791158,26.11901096,1.837699852,0.08863321
44.2,2,1,4,68880,160,2026,1,0,44.41284648,26.19985934,0.728950093,0.648273824
52,2,1,7,77450,97,2026,1,-1,44.4493112,25.98157375,2.207964005,1.04918993
60,2,2,7,260000,120,2010,1,0,44.44492172,26.08307835,0.724005837,0.078686196
40,2,4,4,77000,160,2025,1,0,44.42142658,26.20091887,1.615372338,0.586081782
62.2,3,1,4,260000,28,2025,1,0,44.48963271,26.06502056,2.071951226,0.116450759
55.52,2,0,8,172000,135,2025,1,0,44.4888258,26.1354876,1.748798781,0.989702354
208,5,6,9,1495000,67,2023,0,0,44.4763517,26.1144335,0.512201222,0.23530214
76,3,1,6,122000,23,2025,0,0,44.3736269,26.1256846,1.016035122,0.288943535
65,2,0,3,158000,28,2024,1,0,44.50652359,26.0193093,0.583505179,0.429620195
46,2,7,7,77900,97,2024,1,1,44.4432425,25.9781668,1.711594834,0.684013564
46,2,1,7,68900,97,2025,1,0,44.4436826,25.9767448,1.81589831,0.803534788
49,2,6,6,72200,97,2022,1,0,44.4469007,25.9925134,1.662177221,0.237875035
58.5,2,10,11,165000,95,2024,1,3,44.368195,26.121332,1.688356388,0.163617381
76.3,3,1,3,114500,160,2026,1,0,44.41284648,26.19985934,0.728950093,0.648273824
90.1,3,1,3,148700,160,2026,0,0,44.41306421,26.19532054,0.600027937,0.629289864
53,2,2,11,112000,59,2026,1,0,44.4241833,26.0037726,0.849420243,0.163004851
138,4,1,7,681000,54,2017,1,-1,44.4654263,26.0596389,0.491284715,0.306762926
58,2,4,6,260000,28,2022,1,0,44.50901939,26.0740952,3.721138897,0.65543045
182,5,5,5,660000,78,2026,1,0,44.491275,26.064418,2.105039194,0.022196496
71,3,2,7,100300,23,2026,1,0,44.36599866,26.15365431,0.857661555,0.650636174
29,1,1,3,49490,97,2025,1,0,44.44561984,25.98339792,1.772944702,0.699298277
74,3,5,6,320000,28,2025,1,0,44.50901939,26.0740952,3.721138897,0.65543045
72,2,4,6,164650,80,2026,1,0,44.5172942,26.1411818,4.512716743,2.483596468
37,1,0,3,90500,27,2025,0,0,44.4877671,26.0547944,1.247788113,0.20977799
38,1,0,3,91000,27,2025,0,0,44.4877353,26.0547831,1.245364423,0.210329776
97,3,1,3,325000,135,2024,1,0,44.5226888,26.1449726,5.183553146,2.89673493
120,4,11,12,345000,2,2025,1,0,44.419656,26.0636394,0.899735814,0.147919654
95,2,5,7,595000,67,2015,0,0,44.46812948,26.10357466,1.254444279,0.218496282
110.92,4,10,10,330000,28,2017,1,0,44.501536,26.061654,2.492809639,0.17616059
78.1,3,1,4,297000,169,2025,1,2,44.428031,26.094654,0.502947014,0.126855318
51,2,1,7,78500,23,2025,1,0,44.3629333,26.1484511,0.766525842,0.194854401
166,4,2,5,495000,80,2025,1,0,44.5148983,26.1169235,3.804529258,0.549300868
41.7,1,6,9,68100,160,2026,1,0,44.41603596,26.19768545,0.965454853,0.6655848
37.1,1,0,11,60900,160,2026,1,0,44.41593179,26.19764256,0.953382148,0.67180195
38.3,1,2,11,70200,160,2026,1,0,44.4160893,26.1976568,0.970461381,0.659702112
51,2,0,10,110000,56,1967,0,0,44.419275,26.147123,0.661015362,0.184180871
59.73,2,1,3,108000,160,2026,1,0,44.403345,26.178819,0.810314328,0.723440155
32,1,5,5,48994,97,2025,1,0,44.4391391,25.98725134,0.99691698,0.187506826
59,2,3,4,207500,80,2026,1,0,44.5148983,26.1169235,3.804529258,0.549300868
78,3,7,10,209900,97,2025,1,0,44.4456861,26.02226241,1.292570793,0.324604856
32,1,1,7,49880,97,2026,1,0,44.44177321,25.98721002,1.28468344,0.317896116
64.7,2,1,4,159900,28,2026,0,0,44.49734043,26.1017661,2.024964488,0.080789138
39.32,2,1,3,72632,160,2026,1,0,44.41284648,26.19985934,0.728950093,0.648273824
51.11,2,12,15,265000,67,2026,1,0,44.47468,26.1154126,0.674531221,0.377878102
80,3,4,7,252000,23,2024,0,0,44.388236,26.1346854,0.962933899,0.19914824
142,4,2,8,269900,135,2025,0,0,44.4885201,26.13376,1.614490096,0.992666347
64,2,5,11,210000,67,2017,1,0,44.4701516,26.1111916,1.248029748,0.156216987
79,3,5,11,295000,18,2017,1,0,44.4701474,26.1111593,1.2493556,0.153994734
53,2,0,7,99000,95,2017,1,-1,44.37436677,26.12417229,1.062777209,0.221842676
52,2,3,7,90000,5,1967,1,0,44.38227138,26.11948267,1.207846861,0.314292079
54,2,5,7,129500,111,2020,0,-1,44.39061638,26.12762323,0.496191488,0.076906816
58,4,4,4,115000,25,1974,0,0,44.37745514,26.10716355,2.100773549,0.111709751
36,1,1,6,53390,95,2026,1,0,44.36934731,26.11604931,1.911945407,0.132663225
61.5,2,0,5,149000,23,2021,1,0,44.36365392,26.15364823,0.985974596,0.4622103
62,3,3,4,114000,59,1973,0,-1,44.42150264,26.016984,0.27490036,0.177382171
31,1,2,9,49000,10,1966,1,-1,44.37751118,26.12236318,1.059322129,0.154072004
72,3,3,10,129000,97,2026,1,0,44.43939465,25.97876466,1.342863284,0.48901601
40,1,3,10,72000,97,2026,1,0,44.43939465,25.97876466,1.342863284,0.48901601
52,2,3,7,90000,5,1968,1,-1,44.38854949,26.11212727,0.944441122,0.194730494
55,2,7,7,189000,96,2020,0,-1,44.41314456,26.12610334,0.154292887,0.187127338
218,6,1,1,399000,176,1930,0,-1,44.44377175,26.08801501,0.791767151,0.10319235
45,2,4,7,77000,23,2026,1,0,44.3701255,26.11174265,2.152755714,0.285637833
57,2,2,10,107000,23,1981,1,0,44.38783931,26.12492282,0.604957005,0.148854562
40,1,2,6,67500,10,2026,1,0,44.37241873,26.12963342,0.918590186,0.137629525
48.01,2,2,10,86999,160,2024,1,0,44.41308912,26.19735497,0.648509162,0.671174902
92,3,11,12,195000,111,2023,1,0,44.38466326,26.11863532,0.965865974,0.2243609
31,1,2,7,69000,120,1940,0,0,44.44746421,26.09992853,0.26364455,0.038635314
168.95,3,3,3,250000,179,2024,1,0,44.40043195,26.14670384,1.864203661,0.248360338
69,3,4,4,115900,111,1980,0,-1,44.38613261,26.1357236,0.728044334,0.239976174
53,2,9,10,117990,59,1973,0,-1,44.41961489,26.02559147,0.402923122,0.287608297
47,2,1,3,76264,160,2026,1,0,44.41578389,26.2024691,1.114215112,0.98016727
63,3,1,7,115000,25,1975,0,-1,44.38225405,26.10448492,1.848458672,0.353936635
80,3,2,3,265000,135,2021,1,0,44.48070276,26.11030267,0.501751932,0.168866425
49.4,2,3,20,150000,67,2026,1,0,44.47706396,26.12416677,0.721018132,0.197280668
124,4,6,9,720000,67,2023,0,0,44.4763517,26.1144335,0.512201222,0.23530214
81.1,3,3,7,152000,53,2017,0,-1,44.44892994,26.14623225,1.369080589,0.077251707
82.28,3,5,15,344000,67,2025,1,0,44.4758632,26.1133947,0.594233893,0.172435094
179,3,3,7,296500,162,2025,0,1,44.41727279,26.11580312,0.204145174,0.186509307
55,2,1,7,113000,95,2025,1,-1,44.3599115,26.13413572,1.255937303,0.290919018
42,2,2,7,64900,97,2026,1,0,44.44549171,25.97811457,1.927243594,0.864380073
59,2,1,7,90990,23,2026,1,0,44.36106977,26.14995674,1.005824413,0.082526481
39,2,1,6,76800,23,2025,1,0,44.37224365,26.11675564,1.690049226,0.186682497
34.6,1,1,7,57960,160,2026,1,0,44.41284648,26.19985934,0.728950093,0.648273824
51.68,2,1,5,89500,97,2025,1,0,44.4454227,25.9874609,1.683148904,0.67027114
416,4,5,5,600000,135,2023,1,0,44.4900286,26.1196395,1.066200125,0.483892625
78.08,3,1,4,250000,80,2025,1,1,44.51182712,26.1090106,3.515252559,0.376702661
131,4,3,4,319900,28,2026,0,0,44.49734043,26.1017661,2.024964488,0.080789138
45.59,2,3,11,104400,23,2025,1,0,44.36807336,26.12442554,1.532441924,0.181042537
38,2,0,5,66900,97,2026,1,0,44.44490348,25.98743442,1.626128554,0.640846049
58,2,3,7,220000,67,2018,0,0,44.47099469,26.11140598,1.154295778,0.238499635
58.6,2,11,11,196000,163,2024,1,0,44.40710204,26.12322104,0.64073055,0.116218405
51,2,3,7,57000,97,2024,0,0,44.4469466,25.9913497,1.715353462,0.326843796
64,3,7,7,90900,97,2024,1,0,44.4429701,25.977919,1.697489957,0.681600445
70,3,2,4,205841,135,2017,1,0,44.4932963,26.1191829,1.417004343,0.782347693
86.8,3,5,5,230000,160,2023,0,0,44.41284648,26.19087619,0.623350454,0.520942912
65.95,2,6,11,96300,164,2026,1,0,44.41596243,26.19751385,0.95368837,0.662434508
64.1,2,6,11,93800,164,2026,1,0,44.41603596,26.19764254,0.964457206,0.663262412
53.6,2,1,7,120000,95,2022,1,2,44.36791158,26.12799412,1.250921128,0.108121357
65,2,4,6,138500,23,2021,1,2,44.36216,26.15126,0.963884394,0.212282346
118,4,1,4,359900,55,2008,1,0,44.45774689,26.10104466,0.665953154,0.275307804
65.7,3,2,7,204000,18,2024,0,-1,44.47730355,26.11807111,0.392962487,0.100203914
74,2,4,6,137000,160,2023,1,0,44.41284648,26.19985934,0.728950093,0.648273824
99,4,1,6,190000,25,2023,1,0,44.37665172,26.10669136,2.195603651,0.023924465
36,1,0,6,68500,10,2026,1,2,44.37433296,26.12799412,0.827915951,0.212437951
107.08,4,8,8,360000,67,2026,1,0,44.47758817,26.1244154,0.707335742,0.135848604
40.3,2,4,7,116600,59,2026,1,0,44.41224483,26.03657912,1.119485617,0.222540291
131,4,3,4,319900,14,2026,0,0,44.49720567,26.10178143,2.010078399,0.067762904
130,4,3,3,319964,80,2026,1,0,44.51357811,26.12080004,3.672602109,0.873461387
77,3,2,10,115500,97,2025,1,0,44.44446571,25.97114956,2.167512958,0.885704082
47,2,1,7,77900,97,2024,1,1,44.44499983,25.98775992,1.633678652,0.659406466
46,2,1,5,78000,97,2026,1,0,44.450007,25.981167,2.291504211,0.99616155
33.2,2,3,7,56900,97,2021,1,1,44.43850808,25.98426367,1.011950656,0.114744395
93,4,0,5,471000,169,2022,1,0,44.425208,26.093247,0.695518436,0.215869973
57,2,3,7,93470,23,2025,1,0,44.36383462,26.15058892,0.788858855,0.319355054
40,1,1,6,67500,10,2025,1,0,44.36880493,26.1244472,1.480546113,0.144502267
41,1,1,7,67700,160,2026,1,0,44.41429142,26.19669668,0.75716175,0.777223904
36,2,10,10,89300,59,1973,0,-1,44.4183384,26.0185551,0.212217142,0.234278019
53.25,2,5,11,169750,59,2026,1,0,44.41201649,26.03662206,1.144982777,0.242425828
56,2,3,4,89600,160,2024,1,0,44.40202,26.17865,0.947275954,0.870170413
56,2,3,4,89600,164,2024,1,0,44.402032,26.178682,0.946661468,0.868906245
72,3,0,8,105500,97,2020,1,-1,44.44960843,25.97614694,2.404292343,0.638574088
73.2,3,4,6,135521,23,2025,1,0,44.37209852,26.11203861,2.032929466,0.268625551
33.5,1,4,6,68600,23,2025,1,0,44.36807464,26.11343518,2.163168047,0.07162036
63.9,2,1,3,105500,160,2026,0,0,44.41483316,26.19778541,0.841282791,0.773462447
37,1,0,7,99800,54,1986,0,-1,44.46415842,26.0740952,1.004901678,0.252404247
40,2,6,11,97000,110,2024,0,0,44.4509633,26.15005821,1.747058057,0.18883736
38,1,2,11,84900,161,2026,0,0,44.4264514,26.0190424,0.649649439,0.125454293
48,2,1,7,85680,179,2024,1,0,44.3943432,26.1433052,1.676407827,0.312889724
60,2,0,7,103603,97,2023,1,0,44.436957,25.9878485,0.749855601,0.130286307
48,2,2,7,86220,179,2024,1,0,44.3944949,26.1435137,1.694532581,0.332671808
72,3,3,10,186950,164,2025,1,0,44.43776617,26.16469884,0.45445616,0.198162444
46,2,7,7,120400,100,2026,1,0,44.43702525,26.16398683,0.467497122,0.113444068
82,3,9,17,159999,130,1978,1,0,44.44107514,26.15924688,1.02056054,0.179414485
67,3,1,9,240000,135,2025,0,-1,44.48943808,26.11739609,0.975319486,0.331577178
58,2,3,4,80500,164,2026,1,0,44.41147579,26.20441745,0.724306484,0.608849191
147,4,1,2,499000,135,2023,0,0,44.49274892,26.11903348,1.355072554,0.721321866
40,2,9,9,140000,42,1958,1,-1,44.43709682,26.09787582,0.412387291,0.124283465
187.89,4,1,7,2300000,34,2026,0,-1,44.45456033,26.08751846,0.385053634,0.132035794
